practice1   ,PRACTICE1 ,JANE   ,C , , , , ,practice1   
practice2   ,PRACTICE2 ,JANE   ,C , , , , ,practice2   
practice3   ,PRACTICE3 ,JANE   ,C , , , , ,practice3   
practice4   ,PRACTICE4 ,JANE   ,C , , , , ,practice4   
practice5   ,PRACTICE5 ,JANE   ,C , , , , ,practice5   
practice6   ,PRACTICE6 ,JANE   ,C , , , , ,practice6   
practice7   ,PRACTICE7 ,JANE   ,C , , , , ,practice7   
practice8   ,PRACTICE8 ,JANE   ,C , , , , ,practice8   
practice9   ,PRACTICE9 ,JANE   ,C , , , , ,practice9   
professor   ,PROFESSOR ,JANE   ,C , , , , ,professor
global_user ,USER      ,GLOBAL ,C , , , , ,global_user
